歌单标题,作者,播放数,链接url,作者主页url
2019年2月欧美新歌,biG橘子,630000,https://y.qq.com/n/yqq/playsquare/6568175834.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owEkNe4qNeoA7n**#stat=y_new.playlist.creater
2019年2月华语新歌,还不是因为你长得不好看,1378000,https://y.qq.com/n/yqq/playsquare/6696368453.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7e4A7iSkoKcF#stat=y_new.playlist.creater
2019年2月日语新歌,私に闻いて风i,528000,https://y.qq.com/n/yqq/playsquare/6703176533.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKc5owEPNeo5oz**#stat=y_new.playlist.creater
第91届奥斯卡获奖&提名名单,Sugarbling。Ada,1014000,https://y.qq.com/n/yqq/playsquare/6010051751.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-A7wEl7KSAon**#stat=y_new.playlist.creater
没有人突然不爱你，只是你突然知道,蘑菇,934000,https://y.qq.com/n/yqq/playsquare/6664623669.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnlNKnq7w6P7z**#stat=y_new.playlist.creater
《阿丽塔：战斗天使》电影原声,枯燥的读书人,796000,https://y.qq.com/n/yqq/playsquare/6722124544.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKoP7i6s7KEAoc**#stat=y_new.playlist.creater
第39届全英音乐奖,颁奖 · 更新,2685000,https://y.qq.com/n/yqq/playsquare/6389275592.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=ow6Foevq7i6zoc**#stat=y_new.playlist.creater
作业太多？来点舒缓华语先冷静一下,念安娜,1071000,https://y.qq.com/n/yqq/playsquare/6658796510.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
薛凯琪 | 被施魔法的初恋少女音,香港油麻地多嘢食,777000,https://y.qq.com/n/yqq/playsquare/3609990822.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi65Ne-A7w65on**#stat=y_new.playlist.creater
拨开阴霾，做逆流而上的自己,蘑菇,658000,https://y.qq.com/n/yqq/playsquare/6580015457.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnlNKnq7w6P7z**#stat=y_new.playlist.creater
别再迁就，诚实面对生疏的温柔,念葳蕊,748000,https://y.qq.com/n/yqq/playsquare/6364808036.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKns7ioiNeoA7v**#stat=y_new.playlist.creater
抒情古风 | 捧卷而读，清歌古韵,是硬糖啊,617000,https://y.qq.com/n/yqq/playsquare/6280847849.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnsoevP7eCFov**#stat=y_new.playlist.creater
元宵国风赏 • 千门开锁万灯明,安多,1848000,https://y.qq.com/n/yqq/playsquare/6655978648.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-AoeCs7i4A7v**#stat=y_new.playlist.creater
能量充电站 · 淡淡韩系甜嗓,金琳达,804000,https://y.qq.com/n/yqq/playsquare/3778113097.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owSsoKnzoiSP7v**#stat=y_new.playlist.creater
唯美主义 Melodic Dubstep ,杰少,1127000,https://y.qq.com/n/yqq/playsquare/4031944968.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7iSk7wSzowvl#stat=y_new.playlist.creater
90年代香港喜剧电影,香港油麻地多嘢食,567000,https://y.qq.com/n/yqq/playsquare/6432946160.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi65Ne-A7w65on**#stat=y_new.playlist.creater
悦耳日系：百首R&B女声集,私に闻いて风i,2041000,https://y.qq.com/n/yqq/playsquare/3745344979.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKc5owEPNeo5oz**#stat=y_new.playlist.creater
